reviews,scores
주말 저녁이라 배달이 좀 늦었지만 맛있게 잘먹었습니다~~ 번창하세요~~,5
깔끔하고 맛이 좋네요,5
김치 닭도리탕도 존맛입니다,5
내장부분이 있었나 일부 닭에서 쓴맛이 있었지만 양도많고 맛있게 먹었습니다!! 다음에 또 시킬 의향 있어요~,5
맛있게 잘먹고 맛있게 해주셔서 감사합니다^^ 수고하세요,5
맛있게 잘 먹었습니다~!!!,5
맛있게 잘먹었습니다 다음엔 뼈도 시켜봐야 겟오요,5
"급하게 먹다 사진을,, 찍지 못했지만 맛있었어용! 국물이 조금 적었지만 밥말아서 정말 맛있게 먹었숩니당",5
사장님 진짜 너무 너무 맛있고 간도 적당하고 양도 많아서 저같이 자취하는 사람들이 주말에 한번씩 시켜먹기도 너무너무 좋습니다 항상 감사하고 번창 하셨으면 좋겠고 사장님 혹시 그거 아세요 사람이 너무 맛있는 음식을 먹으면 기억을 잃는데요사장님 혹시 그거 아세요 사람이 너무 맛있는 음식을 먹으면 기억을 잃는데요사장님 혹시 그거 아세요 사람이 너무 맛있는 음식을 먹으면 기억을 잃는데요사장님 혹시 그거 아세요 사람이 너무 맛있는 음식을 먹으면 기억을 잃는데요사장님 혹시 그거 아세요 사람이 너무 맛있는 음식을 먹으면 기억을 잃는데요,5
좀 밍밍하게 느껴 졌어요..기댈 너무 햇나봐요,5
가장 작은거 주문했는데 양이 여자기준 4인분이에요  떡도 맛있어서 사리 추가할걸 했는데 이미 넉넉히 들어있어서 충분히 먹었어요  많이 안짜고 많이 안맵고 많이 안달고 딱 많은 사람들이 대중적으로 좋아할 맛이에요  잘 먹었습니다  감사합니다,5
맛있어요 누가시켜도 후회하지 않을  맛,5
잘~~~~~~~~먹었습니다 ^^,5
맛있게 잘 먹었습니다ㅎㅎ나중에 또 시킬게요!,5
맛있게잘먹었습니다 또주문할께요,5
국물이 적어서 싱거울줄 알았는데 양념이 장난아니에요~ 사장님 국물이 모자라요  양념이 너무 맛있어서 거의 핱아먹었어요 스트레스 날릴수 있는 맛있게 매운맛 !!!,5
음식 맛잇어요  국물이 좀 더 잇음 좋겟어요,5
맛은 당연히 최고!!!!,5
요구사항도 항상잘들어주시고 번창하세요,5
맛있게 잘 먹었어요 또 시킬게요,5
뭐야 왜이렇게 맛있고 양이개쩔지?,5
칼칼하면서 달콤 맛이 더해   넘맛있습니다,5
"배달도 빠르고, 오랜만에 시켰는데 여전히 맛있네요ㅎㅎ잘먹었습니당~",5
배달도 빠르고 여전히 맛있게 잘 먹고있습니다!!,5
양도많고 넘 맛있어요~,5
양도많고 매콤하게 맛있게 먹었어요^^,5
배달도 빠르도 맛있게 잘먹엇습니다,5
먹다가 감자에서 뭔가 나왔는데 이거 뭔가요?  지금껏 감자를 먹으면서 이런건 본적이 없는것같은데,1
맛있게 잘 먹었어요,4
이 집 맛있네요!!! 순살로 시켰는데 맛있었어요!!!,5
맛잇네요 담에 또 시켜먹을 것 같아요 리뷰 좋은 이유가 다 있네요,5
맛나게 잘먹었어요 수고하셔요,5
매콤하고 맛있어요. 다음에 또시킬께요,5
맛있어요 잘먹었습니다,5
고기도 부드럽고 양념도 좋네요 맛있게 잘 먹었습니다~,5
깔끔하고 깨끗한 기분좋은 매운맛,5
떡닭도리탕 잘먹었습니다!  양념이 맛있었어요!  보내주신 콜라도 잘 먹었구오!♡  근데 다 좋은데 김치가 맛이..ㅠ.ㅠ 제스타일이 아니네오옹,5
"네번째 주문이에요!!!! 한식파 제입맛엔 완전 제스타일~~~~~  양 많아서 두번 나눠서 먹는편이구요~~~ 밥이랑 한끼 식사 찰떡입니다 :-)  다만, 음식이 엄청 따뜻해서 김치랑 콜라를 위에 주시면 항상 쫌 미지근해서 여력이 되시면 따로 포장 해서 주시면 더 좋을 것 같긴 해요!! (추가 바램 ㅎㅎ)  좋은 하루 되시고 또 주문할게요",5
맛있네요 공기밥은 없으니까 참고하세요,5
재주문 많은거 보고 주문해봤는데 너무 맛있어용! 여태까지 먹었던 닭도리탕중에 제일 맛있어용!,5
순살이라 먹기 편하고 맛있네요,5
매번 맛있게 먹고 있어요 근데 배달 예상시간이 애초에 75분이라 그것도 오래 걸리긴한데 실제로는 90분정도 걸려서 왔네요,5
잘받았습니다. 정말 맛은 저랑 맞는것같습니다~^^  아 그리고 오늘은 국물이 조금  부족하다고 느꼈습니다. 잘먹고있습니다. 사장님 화이팅~^^,5
매우 맛있어요. 음료수 서비스도 감사합니다.,5
너무 맛있어요 ㅋㅋㅋ,5
맛나용~^^ 계속여기서만 시켜먹어요,5
만족합니다. 번창하세요,5
맛있게 잘~먹었습니다!,5
언제 먹어도 맛있어요,5
언제먹어도 맛있어요,5
맛있게 잘 먹었습니다,5
맛있습니다 번창하십쇼,5
닭볶음탕만 먹었었는데 찜닭도 맛있습니다,5
양도 푸짐하고 자극적이지도 않아요 감자도 푹 익었고~ 수제비 치즈 등 옵션으로 추가할만한게 있었으면 좋을것같아요. 국물이 넘 아깝네요,5
최고에요 추천합니다,5
배달원 관리가 전혀없음 현관출입번호와 비대면이니 배달 후 문자 남겨달라했는데 건물 출입구에서도 집앞에서도 초인종 따박따박 눌러대는데 적당히들 하세요들,1
닭도리탕 맛잇어서 찜닭시켜봣습니다  잘먹엇습니다,5
정말.  맛있네요.,5
맛 좋고 양도 많아요,5
리뷰가 늦었네요. 오랜만에 땡겨서 주문했는데 순살이라 먹기도 편하고 맛있네요,5
늘 시켜먹었는데 맛은 항상 맛있습니다. 쿠폰열장 모았으니 담에 사용혀야겠네요,5
"뭔가 미더덕 같은,, 것도 들어있음 좋을 것 같아요",5
맛있어요 ㅎㅎ 번창하세용,5
맛이없어요 다시는 안먹음,1
너무 맛있었어여 간도 잘 배어있고 딱 정석 닭도리탕 맛입니다! 남자친구가 닭도리탕 처음 먹어봤는데 찜닭보다 맛있다고 하더라구여ㅋㅋㅋㅋ 앞으로 정착할 듯 합니다 잘먹었습니다~~!,5
"배달 제 시간에 도착했고요, 맛 도 좋았습니다",4
항상 맛있어요 좋아요,5
더운 날씨에 빨리 배달해 주셔서 감사합니다,5
얼큰한것보다 매운거 못먹는데 엄청 맵네요 ㅜㅜ,3
말이 필요없습나다. 가격 양 배달 서비스 까지 완벽합니다 ㅎ 김치 안젛아해서 다음에는 김치 깍두기 빼고 주문해야겠어요 ㅎㅎ,5
배구보믄서 잘먹었어여~,5
닭볶음탕 원조! 진짜 요기요에서 젤 맛있는 닭볶음탕집~ 후회하지 않으실거예요~ 늘 닭볶음탕은 여기서만 시켜먹는^^ 이번에도 잘 먹었습니다~사장님 대박나세용!,5
묵은지인지 새콤하니 맛있었어요.,5
매콤하고 넘 맛있게 먹었어요. 양념은 밥 비벼 먹었어요ㅋ 서비스 콜라도 잘 먹었어요.,5
잘먹었습니다 .....,3
삼계탕   최악이다,1
저녁시간이기도 해서 배달이 좀 늦었음. 전화로 문의했는데 사과와 함께 친절하게 응대해주셔서 좀 짜증났던 것도 수그라들음  순살인데 고기가 큼지막해서 놀랐음. 소자인데도 생각보다 양도 든든했고 맛도 좋았음!  밥 양이 약간 부족한 느낌이었지만 메인이 맛있어서 괜찮았음,5
배달은 늦었지만 양도 많고 맛있어요 다음엔 닭도리탕 먹어보려구요,5
넘 맛있습니다~~ ㅎㅎㅎㅎ,5
기대 이상으로 맛있었어요 작은걸로 주문 했는데 양이 많네요 감사합니다.,5
너무맛있어요 진짜 좋은집 발견한것같아요 다음에는 조금더 맵게 가능한가요 사장님?,5
맛있게 잘 먹었습니다,5
빠른배송감사요.  배달예상시간보다 14분전도착했네요 첨으로 주문하는데. 정말 맛있네요.  배달포장도 깔끔하고 콜라도500짜리하나더줬네요 감사합니다. 잘먹었습니다,5
"배달도 오래걸리지 않고, 양도 많고, 맛있게 잘 먹었습니다.",4
존맛탱구리에요옹ㅎㅎㅎ,5
한번씩 생각날때마다 시키는데 그때마다 맛있어요 한결같아서 좋아요 음료도 잘마실게요^^,5
순살 너무 맛좋아용,5
처음시켜봤는데요  맛있네용  술안주로 최고요 남은 양념에 밥 볶아먹으려구요^^,5
항상 믿고 닭도리탕 시키는데 친구랑 배불리 맛있게 잘 먹었습니다!!!,5
맛잇게잘먹어씁니다~~,5
맛있네요.  재료아끼지 않는 이런집이 좋더라,5
서비스도 잘주셨고 무엇보다 맛있네요   다른말보단 맛있다는게 제일 좋은거같습니다   잘먹었어요,5
느므 맛있음!!!,5
맛있어요~~^^대박,5
맛있게 잘 먹었어요~^^,5
저번에 닭볶음탕 먹고 맛있어서 찜닭도 시켜봤어요! 저는 둘중하나 고르라면 닭볶음탕 한표요~,5
언제 먹어도 존맛탱,5
야미~~~~배달 제시간안에 도착했구 존맛입니다 대박!,5
항상 잘먹고 있습니다. 오늘도 넘나 양많고 맛있네요*^,5
