reviews,scores
맛있어요,5
배달비 후덜덜해서 이제못시켜먹겟네요,3
잘먹었어요,5
배달 시켜먹으면서 리뷰 처음씁니다. 주문하고 오는데 1시간 45분걸렸습니다 늦으면 늦는다고 전화도 없고 화나네요  음식 다 식엇고요 돈까스 물론 차가워서 그런지 눅눅하고 치즈 다 굳엇어여  김치찌개 역시 마찬가지구요 평점 좋은이유 모르겠네요 ㅡㅡ,1
잘 먹었습니다!! 근데 콩나물국 메뉴에 있었으면 좋겠어요.. 너무 맛있어요..,5
참치김치찌게가너무맛있어요  5다섯개드림니다,5
잘먹었습니다.....,5
김치찌개가조금맛있습니다 봉지끈을잘풀수있게사세요 이거만고치시면은좋겠습니다,2
맛있게 잘 먹었어요~,4
빨리오고 맛있습니다,5
충무김밥에 순두부찌개 1인 혼자 모두 뚝딱할 수 있는 맛입니다.,5
국물 들은 반찬통 뚜껑이 조금 열려서 포장봉투 안이 난장판이더라구요. 다른건 문제 없었는데 반찬도 잘 닫혔는지 확인 한번 해주시면 좋을거같네요. 음식에는 문제 없어서 잘 먹었어요,5
"배달 1시간30분 걸렸고, 고기양은 적은편, 맛은 보통이네요 리뷰이벤트도 음료수가 아니라 물을 보내주셔서 좀 아쉬워요~",3
생각보다 양도 많고 맛도 괜찮아요 반찬양도 딱 적당한거같아요 살짝 맵긴하네요 ㅋㅋㅋㅋㅋㅋㄱ  배달은 25분정도 빨리도착했어요 ㅎㅎㅎㅎㅎ,5
오늘도 맛있었어요ㅎ 감사합니다ㅎ,5
양도 많고 맛있습니다,5
오늘도 잘 먹었습니다 맛있어요!!!,5
치킨까스 리뷰가 별로 없어서 걱정했는데 정말 맛있고 평소에는 치즈까스밖에 안먹었는데  이젠 치킨까스도 자주 시켜먹을 것 같습니다,5
오늘도 잘먹었습니다ㅎ,5
급하게먹느라 사진을못찍었네요  맛있게잘먹었습니다,5
양도 많고 맛있었요. 배달이 좀 더 빠르면 좋겠어요,5
사장님 배송주소변경문제 해결하는 말투 좀 예의없어요.제가  소비자 예요.돈안줘는거 아니예요.이미주문 했어요.취소하지 않습니다~켤구배달 기사님 다른주소 도착해서 전화해줘서 변경했어요.배달기사님 원전 짱.좋은분예요~너무 수고가 많았어요.,1
오늘두잘먹었습니다 감사합니댜,5
잘먹었습니다,5
맛 양 모두 만족합니다 맛있게 잘 먹었습니다,5
짱맛있음 ㅎㅎ 양도 많아요 ㅌㅋㅋ,5
제육맛있어용! 순두부는 쫌더 찐하게 얼큰하면 더맛있을듯!잘먹었습니당,5
오랜만에 주문시켰는데 맛은 여전하네요 굿~,5
맛은 맛있는데 배달이느려서 눅눅했어요ㅠㅠ,5
너무 맛이 없음 밥 먹고 짜증나긴 첨 ㅠ,5
잘먹었습니다,5
맛있어요  근대반찬이너무적네요,1
배달기사님만 친절하네요 무던하게 평타는 하는 가게라서 간간히 시켜먹는데  뼈해장국 너무실망이네요 보고 누가먹던거 배달한줄알았습니다  뼈 두개 끝. 시래기 한 네가닥? 받자마자 국만 한가득있고...짜증나는 식사였습니다   타 해장국 전문점과 동일한 가격인지 이해안될뿐이고.. 차라리 금액이라도 낮추세요 아님 자신없는 메뉴면 빼세요.. 뼈 저사이즈가 최선이냐구요..  꼭 개선하시고 리뷰 고의적으로 지우지마세요,2
맛잇는데 비계가좀 많네요...,4
맛나네유 담에도 또 시켜먹을께요71,4
아주 훌륭한 음식이였습니다^^,5
정말 잘 먹었어요,5
그냥그래요 평범잘무긋습니다,3
야식으로 1인분만 먹으려햇는데 2인분급으로 주시네요 맛있게 먹고 든든합니다,5
오랜만에 시켰는데 맛이 돌아와있어서 좋아요 배달비가 늘어났는데 양이 더 추가된거 같아서 만족스러웠네요,5
맛있어요~~~~~~~~,5
너무 맛어요🖤🖤🖤🖤🖤🖤🖤,5
언제나 먹어도 맛있어요 양도많고 배달도빨리왔네요 맛있게  먹었습니다  번창하세요,5
용기가 변하면서 양이 좀 줄어든 느낌이에요 흑흑 잘먹엇습니다~~!,5
너무 맘에 들었어요 맛있습니다,5
감사합니다 잘 먹었습니다,3
양 많고 깔끔하고 맛있어요,5
"밥이 많아서 좋았고, 식어도 괜찮았어요. 소스를 찍어먹으니 기름진 건 괜찮았어요. 나쁘지 않았어요, 무난해요!!",4
맛있게 잘 먹었어요!,5
양 많고 맛있어요 잘먹었어요,5
샐러드 빼고 주세요 ㅎㅎ 감사합니다. 했는데 주문을 거절해버리네요 ㅋㅋㅋㅋㅋㅋ 어이가 없어서 그게 그렇게 힘들으셨나보죠 저번에 배달 늦어서 2시간 걸려도 1점은 안줬는데..,1
충무김밥은 진짜 가성비 갑,5
누룽지 너무 맛있어요♡♡♡,5
여기 제육은 언제 먹어도 만족스러워요…,5
"항상 여기서 뼈해장국을 시켜먹는데, 양이 풍부하고 맛도 좋아서 실망하는 날이 없네요. 반찬으로 나오는 김치도 맛있고, 특히 배달이 빨라서 좋아요 !",5
맛있게 잘먹었습니다,5
잘 먹었습니다 양 진짜 많아요,3
바삭바삭하고 맛있네요,5
갈비찜은 훌륭한데 김치찌개는 분발하셔야  되겠어요,5
오늘도 맛나게 잘먹었습니다~,5
우거지갈비탕으로 해장을~^^ 나머지메뉴도 넘맛나게 잘먹었습니다~담에도 맛나게 잘부탁드립니다,5
오랜만에 시켜서 맛있게 먹었습니다 !,5
맛도 양도 매우 만족합니다!,5
ㅅ굿굿굿이에요넘맛있어요,5
감사합니다 잘먹었습니다,5
굿굿 잘먹었습니다 굿굿,5
배달이 너무늦어요 ㅠㅠ,2
양도 많고 좋았어요. 맛있게 먹었습니당:),5
와.... 무슨 먹다남은 치킨부스러기 모아놨다 전자렌지에 돌려서 갔다준줄 알았어요 이거 메뉴 그냥 빼시죠 심각한데요,2
역시 어떤 음식이든 맛있어요~,5
빨리오고 양도 많고 맛나요,5
제육볶음 너무맛잇습니다,5
맛잇어요 ㅎㅎㅎㅎㅎ,5
맛있게 먹었어요!!,5
맛도있고 배달 빨랐습니다 양도 엄청 많네요 1.5인분이라고 봐도 될거같아요 사진이랑은 좀 다른데 저는 만족했습니다,5
맛있게 잘 먹었습니다,5
진짜 다 좋았습니다 또시켜먹을게요~,5
양도많고 배달도 빨라서 좋네요,5
맛있어요......,5
맛있게 잘 먹었습니다~~,5
맛있게 잘 먹었습니다~,5
사진찍는걸깜빡했네요~^^; 하지만 오늘도맛있게 잘먹었습니다,5
잘 먹엇습니다...,5
저번에 먹은것보다 좋았습니다 초심을 지키면서 장사하시는 사장님 보기좋습니다 잘먹었습니다,5
푸짐하고 맛있네요~~~,5
빨리오고 맛있습니다,5
완전맛있어요,5
제육덮밥에 고기가 조금 크네요 좀 더 작게 해주세요,5
잘먹었어요,5
생각한 것과 많이 달랐네요 맛도양도,3
갈비탕이 좀 가격에 비해 양이 아쉬웠네요. 포장이라그럴까요.. 맛은 좋았어요,4
배송비가 올라고 여긴 최고로 맛있네요 올라간만큼 맛도 더 좋아진거 같은 기분이 듭니다! 제육 정말 최고예요,5
1234567890,3
배달 빨리와서 너무 좋았고 깍두기가 약간 밍밍했는데 그래도 맛있게 먹었어요~,5
너무 맛있게 잘 먹었습니다. 고기양 많아요,5
오랜만에 시켰는데 맛있게 잘먹었어요~,5
항상 맛있게 잘 먹고 있습니다. 감사합니다 !,5
