reviews,scores
언제나 최고에요!!!,5
맛있게잘먹었습니다,5
족발 맛있어요 ㅋㅋ 푸짐하고 맛도 좋고 배달도 빨리 와서 좋습니다!!,5
여태껏 먹은 족발 중에 제일 맛있습니다,5
그냥그래요  가격을 더올려서 푸짐하게 나왔으면 합니다,3
맛있어요,5
"리뷰보고 주문했는데 반 강요에의한 리뷰 수인것같다는 생각이 들었습니다. 다른곳에서 더 저렴한가격으로 부대찌게, 잔치국수 및 스끼다시를 먹어오다보니 가격에 비해좀 부실하다고 느꼈습니다. 고기는 양도 적당하고 부드러웠습니다.",1
고기 부들부들하고 양도 많고 막국수가 특히 맛있어요!ㅎㅎ,5
매운게 너무 매웠지만 잘 먹었습니다,5
처음시켜보았는데 일단 진짜 오늘 찐 족발에 고소한 향이 도착하자나서 사진 찍자말자 허겁지겁 먹었는데 너무 맛있었어요. 족발과 부추무침  환상조합!!!  저의  엄마도 메밀국수 너무 맛나다고 하시고  족발 너무 푸짐해서  남기면 어쩌지 했는데  잘 안먹는 우리 꼬물이들도 왠일로 맛있는지 같이 계속먹어서 어른 둘에 애들 둘 배터지게 맛나게 잘 먹었어요. 배송시간도 적절하게 소요됩니다.,5
맛있게 잘 먹었습니다,5
오늘도 맛있게 먹었습니다 먹는중간에 생각나서 사진이 안이뿌네요 암튼 맛있어요,5
모르고 사진을 안찍고 바로 먹어버렸습니다 ㅠㅠ 항상 맛있게 먹고있습니다!! ㅎㅎ,5
오랜만에 재주문 항상 실망시키지 않는 맛집이예요! 양도 푸짐하고 족발도 맛있고!!!! 진짜 한상가득 채워서 먹고 먹어도먹어도 줄지않아서 남겼다 다음날 먹었는데 그래도 쫄깃쫄깃 맛있어요!!,5
"받았을 때 양보고 ""왜 이렇게 많지..?""라고 수십번 말한 거 같습니다 엄청 많아요 둘이서 절반도 못 먹었습니다. 배달도 30분만에 오고... 맛도 되게 좋네요!",5
이곳 족발은 왜 이렇게 맛있죠ㅜㅜ감동,5
"보쌈,부드럽고 무김치도 추가했는데 너무 맛있어요",5
"후기가 늦어서 죄송합니다.   서비스로 주신 국수도 맛잇었고, 배달도 예상시간 50분넘게 찍혔는데 거의 15분넘어서 빠르게 보내주셔서 좋았습니다.   음식도 깨긋하고 정성스럽게 만들어주셔서 잘 먹엇습니다.",5
늘 그렇듯 맛있었습니다. 막국수랑 족발 둘다 잘하는 곳을 찾을수가 없죠.   배달하신분도 빨리 와주셔서 오랜만에 따뜻한 족발 먹었네요.  항상 이곳저곳 들리고 마지막에 와서 그런지 식은 족발만 먹었는데…,5
배달도 빨랏고 맛잇습니다 감사합니다,4
맛있게 잘 먹었습니다,5
항상 맛있게 먹는 족발 맛집~! 서비스 막국수도 싱싱한 야채랑 진짜 맛있어요! 진짜 먹어본 맛집 중 죄고맛집!! 매운족발도 그냥 족발도 막국수도 굳굳굳~  따라오는 부추무침과 무말랭이까지도 넘넘 맛있어요~ 오늘도 맛있게 배부르게 잘 먹었습니다^^! 강추강추~!!족발 시킬때 꼭 한번 시켜보세요~ 최고 족발 맛집 입니다!!!,5
맛있고 양도 많도 배달도 빨라요!!!,5
맛있어요오오맛있어어,5
넘넘 잘먹었습니다 배달도빠르구요,5
영등포에사 먹은 족발 중에 제일 맛있네용~ 잘 먹었습니다,5
사진찍는걸 깜빡했네요ㅠ 너무 잘먹었습니다 맛있어요ㅎㅎ,5
마시께 잘 먹었습니다~,5
족발맛이 쥐깁니다.. 막국수 비져벼오고 시원하고 크... 너무잘먹었습니다,5
맛잇습니다 항상 시켜먹는데 늘 맛잇어용,5
처음 시켜봤는데 족발도 막국수도 굿입니다 너무 맛있어요 조만간 또 시킬게요!,5
7년 당골인 영드포 족발 맛집 족발은 다른 브랜드 프랜차일드 만큼 맛있음 막국수도 맛있어요  다만 몇년전에 살얼음 처럼 육수있었던 적이 더 좋았어요 땅콩이랑 건포도도 들어가고.. 다른 족발집 막국수 보다  맛있는 맛을 잃지 않는 당골집이 되었으면 좋겠습니다.,5
맛있게 잘 먹었어요! 고기양은 약 3명 정도 먹으면 괜찮습니다-! 그리고 막국수에 야채가 조금 더 있으면 좋겠어요!,4
정말 너 무 맛있어요!!!!!!!,5
초행길이라 배달을 10분 늦게 오셨지만 최대한 빨리 주시려고 찾아다니시며  친절히 잘 전달 해주셨어요. 고생 많으셨습니다. 양도 많았구요. 다만 쌈장이 적어서 아쉽네요. 쌈장만 듬북 꽉 채워주시면 좋을거 걑네요.  리뷰대로 고기 냄새도 적고 맛있었어요. 리뷰가 많은 이유를 알겠네요. 잘먹었어요. 번창하세요~^^,5
맛있게 잘 먹었습니다,5
넘무..너무 맛있습니다.... 족발 진짜 양도 괜찮고 맛있구 막국수도 양이 많고 맛있고......  무조건 또 시켜먹을거예요ㅠㅠ,5
화정 항상 잘 먹어요,5
맛있어서 여러번 시켜먹는중입니다 양도 넉넉하고 배달도 빨라서 좋았어요! 다음에 또 시켜먹을게요~,5
맛있습니다! 막국수도 맛ㅇㅆ어요,5
정말 맛있게 먹었어요 고기 잡내 안나고 막국수도 푸짐했어요 감사합니다,5
평점 높아서 시켰는데 잡내 많이 나고 대자 양은 4명이 먹기에 모자라고 배달은 1시간이상 걸림,3
배달은 빨랐어요 완전 총알배송!! 리뷰보고 시켰는데 솔직히 맛은 그닥 ㅠ너무 말라서 퍽퍽하고 다 살고기만 잇어서 별하나 뺏어요 ㅠ,4
부드럽구 너무 맛있서여~,5
족발은 여기서만 시켜먹어요. 특히 막국수 안 자극적이고 간 알맞아서 좋아요,5
"리뷰,주문수가 워낙 많아 어엄청 기대했는데 저는 특출난지 모르겠더라구요 그래도 맛은 있었어요 맛에 비해 가격이 쎄서 재주문은 안할것같아요..",4
맛있었습니다. :),5
"진짜 맛있네요.. 리뷰이벤트로 온 막국수도 진짜 새콤한게 맛있구요 1인분이라고 생각하지못할만큼 양이 만ㅍ아서,둘이서 맛있게먹고있어요~:)",5
족발맛있어요 맛국수 안왔네요,5
너무너무 맛있어요 최고 ㅠㅠㅠ,5
잘 먹었슴니다~~!!,5
맛있게 잘 먹었어요!,5
배달이 20내로 왔는데요? 암청 빠르고 맛도 깔끔하고 맛있었어요! 먹다 중간에 사진을 찍었어요 ㅠ,5
오늘도 맛있네요! 잘 먹었습니다~!,5
"먹는 도중에 작성하는데.. 와…진짜 오랜만에 주문했는데 변함 없는 이 맛… 감동했습니다.. 막국수 매번 감탄하게 하십니다.ㅠㅠㅠㅠ보쌈도 눈물 주르륵..ㅠㅠㅠㅠ 사장님 건강하시구, 장사도 오래오래 해주세요!.ㅠㅠㅠ",5
맛있게 잘먹고있습니다,5
족발은 맛있었는데 막국수는..너무 싱거웠어요ㅠㅠ 양념이 모자란느낌이에여..,4
먹기전에 찍는다는걸 배가고파서 먹는도중 찍었네요 잘먹었습니다,5
족발 아주 먹음직하게 기름 좌르르  서비스 주신 막국수 살얼음 살짝 올라가서 시원시원 굿입니다^^,5
존맛탱이에요 ㅎㄷㄷㄷㄷㄷ,5
보쌈도 진짜 맛있네요,5
고기양은 생각보다 많진않네요 잘먹겠습니다,5
양 많고 막국수도 맛있고 양 정말 많아요 ㅎㅎ,5
오랜만에 시켰는데 여전히 맛있었어요,5
양도푸짐하고 맛있어요,5
막국수서비스 양도많고~~ 또시킬게요,5
족발 맛있어요 서비스 막국수도 잘 비벼와서 면 안 굳고 좋아요,5
항상 맛있게 먹어요~ 사진리뷰 막국수 꿀맛이에요,5
비가와서 조금 늦게오긴했으나 맛나게 잘먹었습니다 서비스로 주신 막국수도 참 맛났어요~,4
잘먹었어요 ~~~~~~,5
양도 많고 맛잇습니다,5
막국수 양이 정말많이 주셨는데 족발은 약간 부족한 마음이 있는데 정말맛은 좋네요,5
배달도 빠르고 양도푸짐 맛있어요 푹삶아져서 굿 불족은 매운맛이 많이 맵지않아서 좀 아쉬운데 매운거 잘못드시는분들도 제육볶음정도?매운맛이라 괜찮을듯 싶어요,5
맛있게 잘 먹었습니다  수고하세요,5
항상 맛있게 잘 먹고있어요! 가격 올린건 좀 아쉽네요ㅜ,5
배달 겁나빠르게왔네요 족발도 맛있게잘먹었습니다!! 다음에또시킬께요~^^,5
맛있게 잘 먹었습니다~,5
생각보다 배달이 빨리와서 좋았어요 저는 괜찬았는데 신랑은 고기에서 잡내가 살짝 난다고 그러네요,4
아따 인기 있는 이유가 있네요,5
배달 하는 * 무슨 다른 가 무슨 회집까지 이중 결제를 하냐 *,3
항상 족발 먹을 땐 여기 시켜먹습니다. 족발도 부드럽고 서비스 막국수도 맛있어요 무엇보다 배달이 빨라요,5
족발이 냄새 안나고 막국수도 맛있네요.,5
맛있게 잘 먹었습니다,5
맛나게 잘먹었습니다   굿,5
너무 부드럽고 맛있었습니다. 잘먹었습니다,5
두꺼운 도화지에 질렸다면 여기서 보쌈을 시켜보십시요 맛있음,5
족발은 여기만!! 막국수가 진짜 맛있습니다,5
막국수도 오네요...대자 보쌈족발이없어..ㅠㅠㅠ,5
막국수양이 너무많아요ㅋㅋ,5
감사합니다 잘먹었어요!,5
양 엄청 많고 족발도 맛있고 무말랭이?도 맛있고 리뷰이벤트도 혜자예요ㅠ,5
양도 푸짐하고 맛있네요 막국수도 비벼져서 와서 바로 먹기 좋아요,5
와...일단 배달 빠르구요 보쌈도 야들야들하니 물리지않고 양도 대짜인걸 감안해도 넉넉해서 좋았습니다 거기다 무말랭이랑 김치 양념이 가히 사기급이었습니다. 빨갛고 매콤한 양념이 새하얀 보쌈하고 그 위에 부추를 올려서 먹으면 크으..... 마지막 화룡점정은 막국수인데 일단 이게 서비스임에도 불구하고(세트X) 사진상으로만 봐도 저기서 가장 양이 많습니다. 거기다 맛도 뒤처지지 않고 여러모로 행복한 야식이었습니다. 마침 첫 월급받은 날에 아빠 생일이었던 차에 시켜먹었는데 후회가 음슴니당ㅎㅎ,5
푸짐하고 맛있게 잘 먹었습니다,5
항상 너무 맛있어서 단골됫어요,5
잘 먹었네요 여기 막국수 아이들도 먹을정도 네요 아이들이 족발에 막국수 싸서 잘 먹네요,5
와우~총알 배달~!!!!!  항상 전화방문포장만 하다가 요즘 배달앱의 매력에 빠진 후 더 자주 시켜먹게 되는것 같아요. 너무 맛나는 막국수 주셔서 감사합니다. 화정족발집이 족발집 종착지인거 같아요. 멀리까지 가서 족발을 먹어봤지만 제 입맛에 이곳이 딱입니다요. 동네에 있어서 넘 좋아요. 오래오래 장사해 주세요. 아셨죠 사장님?^^,5
막국수까지 모두 맛있어요,5
배달도 빠르고 맛있었어요 잘먹었습니다,5
보쌈 중 시켰는데 막국수 서비스 안올줄 몰랐어요 이건 뭐 제 잘못이라고 생각합니다. 근데 빈정은 쪼끔 상해요ㅜ 당연히 32000원 보쌈 중자에 막국수는 온다고 생각하고 있었던지라ㅜ 그거 추가하고 싶은데 또 6000원 시킬라고 290000원 최소 금액 맞출수도 없고 ㅜㅜ좀 그랫습니당 고기 자체는 깔끔해요. 배달도 잘 와주셨고 감사합니다.,4
배달빨리왔어요 .맛잇게잘먹었습니다.,5
맛있어요^^ 이런족발처음이야,5
가족끼리 항상 잘먹고있습니다 오늘도 잘먹었습니다,5
너무 맛있었어요! 막국수 좋아해서 리뷰이벤트말고 따로 하나 더시켰는데 양 너무 많아서..ㅠㅠ 중자가 이렇게 많은 줄 알았으면 안시켰을건데 배터지는줄 알았어요!! 족발도 따듯하게 맛있게 잘 왔어요! 잘먹엇어요~,5
배달예상시간보다 20분 빨리와주셨네요~ 푸짐하니좋네요 잘 먹겠습니다,5
맛있게 잘먹었습니다 감사합니다,5
배달도 빠르고 양도 푸짐하며 족발과 막국수와 보쌈김치까지 너무 맛있습니다. 찜 누르고 단골하렵니다.,5
너무 맛있게 잘 먹었습니다ㅎㅎ 감사합니다 다음에 또 시킬께요!!,5
맛있어요. 맛있어요,5
잘먹었습니다~~ 친구들이랑 포식했네요,5
요기서 몇번 시켜먹었다가 다른데도 몇군데 시켜먹어봤는데 여기 족발이 가장 맛있습니다 쿠폰 12장 다 모아 가네요,5
맛있게 잘 먹었습니다.,5
최근 먹은 족발중에 가장 맛있었어요!,5
족발 최고입니다 ! 앞으로도 무조건 족발은 족발이야기입니다^^,5
족발도 맛있고 막국수도 맛있었는데 족발 대자 치고는 양이 적은 듯,3
배달도 빠르고 족발도 막국수도 너무 맛있어요:),5
자주 시켜먹는곳인데 항상 맛있게 잘먹구 있습니다 ㅎㅎ,5
기대안했는데 맛있어서 놀랐어요 야채 싱싱하게 와요,5
양도 많고 맛있어요 ~,5
맛있게 잘먹었습니다,5
뼈사진 밖에 올릴 수 없음을 안타깝게 생각합니다. 먹고 나서야 든 정신. 리뷰써야지....,5
가까운 곳이긴 하지만 10분 만에 오셔서 충격..  그치만 쌈장 마늘을 빼먹으신 ㅠㅠ 그래도 넘 맛있고 양도 많았어요,5
맛있습니다 리뷰 막국수도 맛있습니다,5
배달무슨일인지 ㅋㅋㅋ 시킨지 딱 11분만에 왔네여 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ역시맛있어요 다이어트중이라 안먹다가 백신을맞아서그런가 하루종일 식욕이당겨서 시켰습니다 역시 늘 맛있는막국수네여 근데 오늘은 팔각때문인가 약간 비누맛이나서 그냥못먹고 막국수랑같이먹었습니다ㅜㅜ 평소엔 안나던맛인데 갑자기 확 느껴져서여 ㅜㅜ 그래도 막국수랑같이먹으니 안느껴져서 맛있게먹었습니다!!,5
족발보쌈은 여기서만 시킵니다,5
막국수 매콤하고 족발 맛있어요ㅎㅎㅎ,5
어제 리뷰 쓴다는거 늦어서 죄송합니다ㅠㅠ 맛도 너무 맛있고  양도 많고 최곱니다!,5
맛있게 잘먹었습니다.,5
진짜 맛있어용^^^,5
보쌈은 수입산이라 냄새나고  맛 도없네요  족발만 시켜먹는거로...,2
배달도 빨리오셧구 양도 많구 ㅠㅠㅠ 역시 어느점이든 다 맛있구 친절하신것같아용 ㅎ,5
늘 맛있게 잘먹고 있습니다 👍👍👍👍👍,5
역시 믿고먹는 화정입니다👍🏻👍🏻세명이서 먹었는데도 알차게 먹었어요,5
양 진짜 많고 족발 매우 쫀득쫀득하고 맛나네요~!!!  배달도 빠르고 잘먹었습니다~👍🏻👍🏻👍🏻👍🏻👍🏻,5
맛있게 잘먹었습니다 종종 시켜먹는데 족발 막국수 다 굿입니다 ㅎㅎㅎ,5
완전 맛있어요! 기사님 배달도 빠르고 포장도 완전 깔끔해요,5
족발쫄깃하고맛짱이에요! 양이많아서혼자다먹기가힘들었어요!비빕국수써비스도양이너무많이줘서반은남았네요!잘먹었읍니다!,5
양도많고 고기도 두툼해서 맛도 좋고 서비스 국수양도 엄청 많네요 맛있게 잘 먹었습니다,5
먹기전에 후다닥 찍었어요! 양도많고 막국수 존맛에 잘먹었습니다!,5
잘 받았습니다~ 맛있어요!,5
맛있게 먹었습니다. 서비스 막국수도 잘먹었어요,5
맛잇어요 막 삶은거 맞아요,5
족발 시킬 때는 아무 고민하지마시고 여기서 시키시면 됩니다  정말 맛있어요,5
4인이 먹기 좋은양이었고  고기고 냄새하나도 안나고 부드럽고 맛있었어요~,5
가끔시켜먹는데 맛있어요^^,5
쿠폰 열심히 모으고 있습니다 너무 맛있어요!,5
오늘도 맛있게 잘 먹었습니다. 오랜만에 시켰는데 여전히 맛있어서 잘 먹었습니다.,5
족발 막국수 다 맛있어요!,5
식은족발로 보내달라고 요청해서 쫄깃하게 너무 맛있게 잘 먹었어요 막국수도 맛있고 양 엄청많아요^^,5
족발 여기서만 시켜먹음 맛있음,5
보쌈양은 조금 부족하다 느꼈지만 맛있었어요. 국수였는지 김치였는지 소스가 다 새서 먹기전에 치우느라 번거로웠지만 기사님이 매우 친절하셔서 기분이 나쁘진않았네요!,4
동네 보쌈 맛집이에요 잡내도 하나도 안나고 너무 맛있어요,5
첨시켰는데 양 엄청많고 맛있었어용,5
사실 너무 맛있어서 먹을때 감동입니다ㅜㅜ,5
배달도 빠르고 고기도 맛나요 서비스인데 막국수 양이 많으네요,5
맛있네요! 배달도 빠르고 아주 맘에듭니다!,5
역시나 오늘도 맛있는 불족발 맛있게 만들어주셔서 감사합니다 :) 잘 먹었습니다 !,5
1년반동안 10번 먹었네요ㅎㅎ  쿠폰 10장 모았어요~~ 맛집!!추천,5
백신 2차 맞고 몸보신 !,5
dog 부드럽다 굿bb,5
양이 많아서 좋습니다 배달이 15분만에 온거같네요. 아주만족스럽습니다^^,5
양도많고 서비스도 주셨어요 ㅎㅎ 잘먹고 또시킬게요!,5
리뷰 많아서 먹어봤는데 이유가있었네요 너무 맛있고 양도 많아요 배달도 예정보다 훨씬 빨리왔네요 잘먹었습니다,5
받자마자 먹느라 사진을 못찍어서ㅠㅠㅠ 저번에 시켰을때 찍은 사진으로 올립니다.. 진짜 맛있어요!! 족발은 여기서만 시킵니당,5
사진을 찍었는데 이상하게 나와서 올릴수가없네요ㅜㅜ 진짜진짜 맛있어요~담에 또 시킬께요^^,5
양도 많고 너무 맛있게 잘먹었습니다 또시킬게요,5
"저는 개인적으로 탱탱한 식감에 족발을 좋아하는데, 너무 삶아서 껍집이 흐물흐물 거려 느끼해서 반도 못먹고 멈추었습니다.",4
왕마싯슴.. 여기에 막국수도 리뷰이벤트로 받았는데 짱짱,5
항상 잘먹고있습니다~~^^,5
족발 당연히 맛있구요 서비스로 주신 막국수 양도 많고 자극적이지 않아 너무 맛있게 먹었습니다,5
전 늘 족발은 이집밖에 없다고 생각해요,4
"동네에 이런 맛집이 있었다니,,,감동이에요ㅠㅅㅠ 배달도 빠르고 양도 많고 너무 맛있어요!!",5
족발 양도 많고 맛있네요  막국수도 너무 맛있고 많아서 배부르게 먹었습니다,5
맛있게 잘 먹었습니다,5
서비스로 주신 막국수가 먹어도 먹어도 안줄어요. 고기에 냄새도 안나고 맛있었습니다.,5
족발도맛있고 서비스막국수도 맛있어요~,5
