reviews,scores
탕수육.만두 맛있어요~배달걱정없이 빠르고 요청사항도잘해주셔서 감사히 맛있게 잘먹었습니다.또주문할께요~,5
맛있게 잘 먹었습니다~ 짜장 탕수육 군만두 다 맛있어욥,5
맛나요 조아요~~~~,5
오랜만에 짜장면 먹고싶어서 시켜봤는데 맛있게 잘 먹었어요!,5
볶음밥 짜장소스와 짬뽕국물이 조금 짜네요 탕수육 맛있게 잘 먹었습니다,5
배달 예상시간보다 훨씬 빨리왔어요! 면이 좀 불어서 꾸덕햇지만 먹을만했고 탕수육도 맛있었어요~,5
너무너무너무맛있어요,5
맛있어요 양도 충분하고 볶음밥이 너무 맛있네용,5
늘 가성비좋게 잘먹고있습니다~!,5
배부르고 맛있게 먹었어요~,5
누룽지탕 맛있어요 뜨끈한 음식이 땡겨서 주문한건데 양도 많구요,5
맛있게 잘 먹었습니다~~~,5
반반메뉴 저렴하게 다양하게 먹을 수 있어 좋네요 탕수육도 맛있어요 배부른데 계속 들어가네요 잘 먹었습니다,5
배달도 빠르고 맛있어요!!!,5
배달 빠르고 맛도 깔끔했어요. 탕수육이 약간 단 축에 속했습니다. 자주 시킬 것 같아요!,5
날이 꾸물거리는 날 짬뽕이죠. 탕수육까지 곁들이면 금상첨화~,4
탕짜면은 울 아들 최애음식임다 넘 빠르게 왔꼬 맛나게 순삭했네여 많이 파세요~^^,3
최공ㅇㅇㅇ너무맛잇게잘먹엇어요,5
맛있게 잘 먹었습니다 :),5
가격도 제일싸고 맛도 있는데 양도 혼자 다먹기에 진짜진짜 많네요! 괜히 사람들이 많이시켜먹는게 아니에요! 잘먹었습니다!!,5
맛있게 잘 먹었어요!,5
기대를 저버리지 않는 맛.,5
쟁반자장이 약간 불었어요 그래도 나쁘지 않았어요,4
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5
너무 맛있어서.. 순삭했네요,5
1인분 배달에도 기분좋게 먹을 수 있습니다!,5
주문하자마자 바로옴 ㄷㄷ,5
맛있게 잘 먹었습니다~,5
육개장 너무 맛있어요!! 육개장은 무조건 홍매에서 시켜먹어요,5
맛있,5
벌써 몇번째인지 모르겠네요ㅋㅋ 잘 먹겠습니다~~!,5
맛있고 푸짐하네요 잘 먹었습니다,5
맛있게 잘먹었어요.,5
처읍 시켜 봤는데 양도 많고 맛있어요^^,5
여기 짬뽕은 최고의 맛입니다 너무 맛있어요,5
배달  빠르고 맛있어용,5
간만에 중식!!맛있었어요!!,5
"오랜만에 자짱면 맛있게 먹었어요. 군만두도 맛나게 먹고,  애들도 남기지않고, 싹! 잘 먹었습니다.",4
양 많고 맛있어요 10자,5
배달빠르고 맛있어요,5
무난하게 맛있어요 군만두가 특이함,5
서비스로 주신 만두조차 맛있었어요^^  배달도 엄청 빠르네요,5
시킨지 며칠안되서 또 시켜먹었어요 ^^~ 역시 맛있네요!! 대박나세용!!👍👍👍,5
빠르고 맛있어요:),5
배달진짜빠르고 맛도좋았어요,5
