reviews,scores
오랜만에 시켜먹었는데 역시 너무 맛있습니다. 배달도 정말 빠르고 양도 정말 많습니다.,5
여기 고기만 시켜요 너무 맛있어요!,5
배달이 쫌 느리네요 ㅎㅎ;,3
항상 맛있네용 양도 많고!!!!,5
동생이랑 맛있게 먹었어요~!  리뷰 잘 안남기는 편인데 진짜 여긴 너무 좋아서 리뷰 쓰게 됐네요♡ 배달 해주시는 분도 너무 친절하시고 좋았습니다.  다른분들도 절대 후회 없으실거예요~,5
맛있게 잘 먹었습니다!,5
이번에도 맛있게 잘 먹었습니다 고기 크기도 짜잘짜잘하지 않고 좋았어요 다만 이번엔 고기가 좀 퍽퍽해져서 미리 조리한걸 보내준거 아닌가 싶었는데 따뜻한거 보니 아닌거 같기도 했어요;;;; 어째든 잘 먹고 있습니다,4
너무 맛있게 잘먹었습니다. 감사합니다,5
맛있게 잘 먹었습니다,5
"반찬 종류 너무 많으면 안 먹는 게 생겨서 버리게 되는데, 그렇지 않고 고기 먹을 때 잘 어울리는 몇 가지만 있어서 좋았어요:) 무말랭이 더 매콤해도 맛있을 거 같아요 ㅋㅋㅋㅋ!! 계란찜고 맛있고 고기도 맛있었어요 ㅎㅎㅎㅎ 따듯하게 잘 와서 맛있게 잘 먹었습니다~",5
항상 맛있게 잘 먹고있습니다. 배달도 빠르고 양도 푸짐해요,5
국물 다새고 배달느리고 에휴....,1
생각보다 배달도 빠르고 양도많고 오랜만에 먹는데도 맛있어요~~,5
Tasty bro gl,5
So tasty yummy gl,5
삼겹살 집인데 고기보다는 떡 맛집이네요. 삼겹살은 딱딱해서 돌을 씹는건지 고기를 씹는건지 모를 정도고요. 있는 삼겹살의 양도 적고 왜 리뷰가 이렇게 좋은지 모르겠네요. 다신 안시켜먹을 식당이네요. 비추합니다.,1
넘 맛잇게 잘먹었ㅂ니다! 쿠폰 열심히 모을께요!!,5
역싀나 고기는 직구삼!! 벌써 쿠폰 4장이나 모음 ㅎㅅㅎ,5
잘먹었습니다~~~~~~~,5
ㅎ하하하하하하하하하하하,5
처음시켜먹어봤는데 진짜 양도많고 너무 맛있습니다.. 다음에도 또 시켜먹을께요,5
오랜만에 잘 먹었습니다.,5
양도 많고 맛잇게 잘 먹었습니다.,5
넘 잘 먹었습니다! 직구쌈 최고 ❤️,5
빠르고 맛있어요!!,5
직구삼 목살 너무 좋아요 비계가 거의 없고 살도 촉촉하게 구워져 있어서 맛있게 먹었습니다~~ 고기 먹고 싶을 땐 언제나 직구삼~♡,5
잘먹었습다 ㅎㅎㅎㅎㅎ,5
맛있게 잘먹었습니다!!,5
맛있게 잘 먹었습니다^^,5
양도 많고 부드럽고 떡도 쫀득하니 너무 맛있게 잘 먹었습니다! 배달도 생각보다 빨리 해주셔서 좋았어요,5
맛 좋아요 리뷰이벤 소시지도 잘 먹었슴다,5
ㅇ,5
상추 많이주셔서 감사 무한 감사!!!,4
배달도 빠르고 양도 많고 너무 맛있었어요!! 이제 삼겹은 여기서 시켜야겠어요,5
리뷰이벤트로 받은 수제 소시지도 맛있고 고기는 말할 것도 없네요. 양도 푸짐해서 잘 먹은거 같아요,5
오랜만에 시켜 먹은건데 배달 진짜 ㅁ바름!,5
양도많고 맛도있었어요 잘먹었습니다,5
항상 자주 시켜 먹어요 삼겹살은 무조건 여기서 먹네요 ㅎㅎ 감사합니다 수고하세요,5
너무맛있게잘먹었습니다^^,5
맛있게. 잘ㅇ석었어요 삼겹살 너무 맛있어요 ㅎㅎ 냉면도 딱 내스타일 ~^^,4
맛있고 두 명이서 먹기에 딱 맞네요 잘 먹었습니다 다음에 또 시켜보려구요^^,5
양도 많고 맛있네요! 계란찜도 굿굿,5
.,5
맛있어요! 소스가 왔으면 더 좋았겠지만 고기가 진짜 맛있어요 쫄깃해요,5
너무 맛있었어요!! 사진은 급해서 못찍었네오 집에서 가까워서 애용하고 있슴니다 ㅎㅎ 언젠가 쿠폰 모아서 고기 백그람 받고 싶어요   떡사리도 감사함니다~~,5
맛있어요🍯🍯🍯🍯🐝🐝🐝🐝,5
양도 많고 맛있게 잘먹었습니다~,5
역시나 배달 빨랐구요. 오늘도 맛있게 잘먹었습니다.,4
정말 맛있고 양도 많고 좋습니다 다만  오늘 공기밥이 안와서 조금 아쉬웠습니다 ㅠ,5
양 맛 배달 다 좋았어요 ㅎㅎ,4
맛있게 잘 먹었습니다^^,5
한달만에 시켜먹는데 정말 맛있습니다! 양도 진짜 배 터질 것 같이 야무지게 주셨어요. 배달도 예상시간보다 훨씬 빨리 와서 놀랬습니다! 앞으로 자주 이용할게용,5
늘 주문하는곳이죵! 이번에도 맛나게 먹었습니다.!! 다음번엔 또 다른맛 도전해볼거예요!,5
맛있게 잘 먹었습니다,5
너무 맛있었어요 맛도 맛이지만 양을 정말 많이주셔서 배터지게 먹었습니다. 배달도 어플 알람보다 절반일찍 왔어요... 단골 예약입니다,5
배달이 빨라서 놀랐어요,5
항상 맛있게 먹고있습니다,5
을마나 마싯게요~~~~~,5
무엇하나 어긋남이 없는 고기1번지 직구삼ㅊㅊ,5
항상 맛있게 먹고 있어요.,5
삼결살 땡길 땐 역시 직화삼겹살이네요~! 너무 맛있게 먹었습니당,5
맛있게 잘 먹었습니다,5
맛있어요 !!! 다음에 또 주문하겠습니다,5
너무너무맛있어용~~~,5
맛있었어요!!근데고기가 너무작게썰려있어서 두개씩집어먹었답니당ㅎㅎ,5
배달도 빠르고 특히 김치찌개 너무 맛있어요!!,5
오랜만에 고기 먹고싶어져서 시켰는데 맛있어요!!,5
너무 맛있게 잘 먹어씁니다♡,5
잘 먹었습니다~ 항상 맛있게 먹고있어요. 감사합니다!,5
서비스도 넘. 많아서 감동했습니다. 비비큐 반값세일하는데 전 직구삼이 더 땡겨서 오늘도 시켜먹을게요!,5
👍👍👍👍👍👍👍👍👍👍,5
맛있기 잘 먹었습니다,5
항상 잘 먹고 있습니다,5
이번에는 목살로만 먹었는데 담백하고 넘 맛있어요.,5
