reviews,scores
"기대하지않고 그냥 시켰는데 진짜 맛있네요~~ 고기가 살짝 퍽퍽한데 그래도 만족합니다~~ 싹싹 긁어먹었네요~~~ ㅎ 시켜보세요, 후회하지않을거예요^^",5
맛있었어용 담에또시킬께여~,5
두번째 시키는데 절 실망시키지 않네요   너무 맛있게 잘먹었습니다^^,5
매콤하고 맛있었어요 ㅎㅎ 매운걸 못 드신다면 많이 매울거 같아요ㅎㅎㅎ,5
맛있게 잘 먹었습니다 ^^,5
제가 원했던 부드러움과 맛은 아니네요ㅠㅠㅠ,3
맛있어요 혼자먹기 딱좋음 ㅎㅎ,5
너무 늦게 올리네요ㅠㅠ 항상 맛있게 잘 먹구있어용! 감사합니다!,5
"지금 식사중에 넘 맛있어서 리뷰 올립니다 리뷰 서비스 주신 계란도 잘 받았고, 양도 맛도 그냥 짱짱 최고임돠^^ 번창하세요 사장님^^ 전 남은거 다시 먹으러 갈게여",5
매운갈비찜 넘 맛있어요ㅜ또시켜먹을게야,5
존맛탱입니다 단골됨,5
간도 잘 맞고 반찬도 심플하니 좋아요! 두번째시켜먹는데 맛있어요~ 살도분리 잘되고! 잘먹었습니다~:),5
반반 먹엇는대 괜찮습니다,4
오랜만에먹어도 역시 맛있고 밥양 많아서 좋아여,5
맛있었어요~ 이번엔 매운거였는데 다음엔 순한맛으로도 시켜먹어볼게요! 그리고 떡볶이도 진짜 맛있었네요 ㅋㅋ,4
맛있게 잘 먹었습니다,5
배달도 시간보다 빨랐고 일단 님들아 이가격에 이정도 퀄리티 없습니다.. 완전  미쳤어요 JMT!! 리뷰때문에 좋게 써주는거 아닙니다. 소갈비찜 핵강추!! 떡볶이랑 야끼만두 서비스도 주셨는데 진짜 맛납니다.   가격도 저렴하고~ 종종 시켜 먹을께요!  재주문 확률 200%!,5
잘 먹었습니다 많이 파세요,5
진짜 맛있게 먹었습니다!! 양 많고 맛도 원하던 그맛이라 먹자마자 다 비운거같아요 진짜 제대로된 식사 했습니다 번창하세요!!,5
맛있어요 ㅋㅋㅋㅋㅋ,5
믿고먹는다니까~~~~ 키ㅣㅋ,5
오랜만에 콩나물찜 먹었네요ㅎ 야끼만두가 오늘은 너무 빠삭했어여,5
양이 많아요. 다 못먹을 줄 알았는데 완식했어요. ㅋ 맛있어요.,5
맛있게 잘 먹었습니다.,5
맛나게 잘 먹었어요.,5
갈비찜 어디서 먹어야하나 했는데 여기 찾았네요 ㅎㅎ 맛있게 잘먹었습니당!!,5
너무맛있어용!!!!!,5
"다른 음식 맛도 궁금해서 시켜봤는데 역시나 맛,양 둘다 만족해요 고기상태도 부드러워 먹기 편했습니다. 감사한마음으로 식사했네요 번창하세요.",5
정말 맛있습니다. 양도많고 맛도있어요.  번창하세요.,5
급하게 먹다보니 사진안찍었네요ㅜㅡㅠ 매갈은 이집에서만 먹어야겠어여,5
"배송도 빨리 왔고, 양 많고 맛있게 잘 먹었어요!!!",5
양도 많고 너무 맛있어요 김치를 좋아해서 김치많은 것도 좋고 잘려져있어서 먹기 편하네요! 맛있게 잘 먹었습니다,5
늘 잘 이용합니다,5
진짜 jmt 입니다 ㅜ 고민말고 시켜드세요!!  양도 두끼에 나눠먹을정도로 괜찮았습니다  고기도 부드럽고 맛있어요 =)♡,5
맛있어요 양도 많아요 최고~👍,5
맛있어요 잘 먹었습니다,5
깜빡하고 다 먹은 다음 생각이 났어요 사진 못올려서 죄송해여 넘 맛있고 주중에 또 먹을거에요~~,5
12일 점심 오늘도 잘무것습니당,5
보기보다 양이 엄청많네요 보통성인남성기준 엄청배불러요 맛도 좋습니다,5
매번 맛있게 잘먹고있습니다 진심 고추장불고기 고기 추가있었으면 좋겠어요,5
맛있게 잘 먹었습니다~!!!,5
맛있어요🍯🍯🍯🍯🍯🐝🐝🐝🐝🐝,5
다 좋은데 조금 싱거웠어요!  다음주문땐 미리말하고시키려구요 !  맛있게 잘목었숩니당,5
너무짜지않아서 좋았어요 떠뽀끼 튀김 주신것도좋구용,5
맛괜찮아요 양도 많은 편이고 배달도 양호합니다,5
너무 맛있게 잘 먹었습니다,5
맛있게 잘 먹었습니다.,5
고기 엄청 크고 양도 많고 맛있었어요👍 종종 시켜먹을거같아요😆,5
양도 많고 배달 도 너무 빠른 나홀로 찜애 🔥🔥,4
잘 먹었습니다~^^,5
"처음시켰는데, 양도 많고 맛있었습니다! 다음에 또 시켜먹을의사 만퍼센트",5
맛있게 먹었습니다.  다음에 또 주문하겠습니다,5
진짜 맛있었어요 또시켜먹으려고요,5
갈비찜이 너무 맛있어서 늘 먹던걸로 시키는 나홀로찜애><,5
적당한매운맛에 고기가 엄청연해서 먹기편했어요,5
무난합니다 국물이 많습니다. 갈비찜 생각날때 시킬고 같아요,3
양도 많고 맛있고 배달도 친절하셔서 좋았어요! 맛있게 잘먹었습니다ㅎㅎ,5
맛있어요 ㅎㅎ 묵은지 간이 딱이에요,5
맛있어어서 후다닥먹었네요~,5
잘 먹었습니다 많이 파세요,5
묵은지 닭도리탕 김치 길게 찢어서 고기랑 밥이랑 먹고 국물 한번 떠먹으면 진짜 얼큰 짭짤 맛있어요ㅎㅎ,5
맛있게 잘 먹었습니다!,5
맛나게 잘 먹었습니다! :),5
"잘먹었습니다..,ㅇ",4
배달 빨리 왔습니다 맛있게 먹었습니다,5
김치에서 좀 쓴맛이 나지만 전체적으로 맛있었습니다.,5
잘 먹었습니다~^^,5
너무 맛있게 잘먹었어요!!! 갈비찜 최고!!,5
항상 잘 이용합니다,5
맛 그대로 맛있습니다,5
매돼갈 너무 맛잇어요~~~,5
서비스 맛있게 먹었습니다. 근데 먹고 다음날 복통 있었어요...,5
디용...매운거시키려고했는데 잘못눌렸나봅니다ㅋ 양이좀줄은듯한느낌.....밥은그대로네요ㅎ 양이줄은거같아서아쉬워요,5
늦은 후기) 정말 맛있게 잘 먹었습니다~ 당골 예약! 푸짐하고 맛있어서 두번 놀라는! 또 시켜먹으러 올께요😊 사장님 돈 세다 잠드시길요!,5
늘 잘먹고 있습니다,5
리뷰가 좋아서 처음 주문해봤는데 너무 맛있게 먹었어요 고기 완전 부드럽구 밥 하나로 둘이 먹어도 양 충분했어요 재주문할듯 bb,5
항상맛있게 먹고있습니다 잘먹었어요,5
맛있게 잘 먹었습니다!!,5
맛나게 잘 먹었습니다! :),5
맛있게 잘 먹었습니다^^,5
역시 믿고 먹는 곳! 매운갈비찜 더 맵게 해달라고 부탁드렸는데 너무너무 맛있었어요!! 감사히 잘 먹었습니다♡,5
생각보다 맛/양/배달도 다 좋았어요~~~~^^,5
여긴 그낭 리뷰 고정하고 싶네 ㅋㅋㅋㅋㅋ 와 ㅋㅋㅋㅋㅋㅋㅋ 양도 미쳤고 맛은 원래 미쳐있었고 ㅋㅋㅋ 근ㅡㅡㅡㅡㅡㅡㅡㅡㅡ본,5
매콤함에 중독되서 매달 시켜 먹네요 잘먹었습니다,5
밑에 김치가 숨어잇어요 김치굿뜨,5
진짜 맛있어요 양도 많아서 두끼동안 나눠먹었습니다! 또 시켜 먹을게요. 떡볶이랑 만두도 맛있게 잘 먹었습니다,5
맵긴 엄청 매운데 계속 먹게 돼요!,5
25일 1시19분 잘묵엇어용,5
항상 맛있게 잘 먹고 있습니다. 번창하세요~,5
술안주로 굿이네오. 잘먹었습니다.,5
맛있게 먹었습니다! 예상시간보다 20분 정도 늦게왔지만 푸짐하고 맛있고 만족해요,4
배달도 빠르고 맛있어요,5
굿굿굿. 갈비찜 장난아니네요,5
늦었지만 혼자사는 저에겐 최애 맛집입니 양도 푸짐!,5
처음 시켜먹어봣는데 진짜 찐 묵은지내요 국물 진짜 시원하고 진짜 간만에 맛있어서 리뷰 적습니다. 자주 시켜먹을것 같아요 맛집 인정,5
간만에 먹었어여 바삭한 야끼만두 굿,5
찐 존맛탱입니다.....,5
기대를 많이 했나봐요ㅠ 고기 양도 조금인데..뼈만 있는것도 있네요 그리고 국물은 한가득;;,3
23일 오후1시54분 어제도 오늘도 나홀로로 행복해졌다리..ㅠㅠ,5
배달도 생각보다 빠르고 맛있어요!!,5
너무맛있었어서 또머글까말까 고민중잊니다,5
8월22일 오후2시22분 주문! 갈비찜 먹으려고 주변 둘러보면 아무리못해도 1인분에 19000 좀더나가면 2~3만원댄데 나홀로는 이런 저렴한 가격에 완전 부들부들한 고기의 갈비찜이 온다는거 떡볶이 야끼만두도 진짜 버릴게없다 반찬도 콘샐러드 오뎅 갈비찜안에도 소량의 둥근당면 떡 야채 ㅠㅠ 진짜 1인가구 한끼먹을때 푸짐하게 먹으로 사장님이 맛난것들로만 채워주신듯 배달기사님도 자체직원이라고 문자오셨는데 엄청 빠르셨다리.. 거기에 리뷰이벤 후라이 진짜 자주시켜먹을게요,5
오늘은 갈비찜이 많이 안조려져서 왔는데 국물자잘하니 많이 짜지도 않고 더 맛있네요. 국물처럼 후룩후룩 양념이랑 떠먹으면서  잘먹었습니다~,5
맛나게 잘 먹었습니다! :),5
verg guddddd,5
잘 먹었습니다 많이 파세요,5
맛있게  잘 먹었어용ㅋㅋㅋ,5
잘 먹었습니다~^^,5
맛있어요!! 다음에 또 주문하렵니당,5
아주 맛이 좋네요.,5
배터지게 잘 먹었습니다!!,5
오 너무 맛있어요~~~~,5
리뷰 너무 늦게 올렸네요ㅠㅠ 맛있게 잘먹었습니다! 양도 많고 기대한 만큼 맛있어요!,5
"요기요로는 오랜만에 주문해봤어요 소갈비찜이 너무 먹고싶어 주문했는데 소갈비찜치고 금액대도 넘 저렴했고 그에비해 양도 많았습니다! 소갈비찜, 반반메뉴였던 매운소갈비찜, 돼지김치찜 역시 넘 맛있었고 떡볶이도 매력적이었어요ㅎ대신 만두는 기름기만 좀 제거되었음 더 좋았을거 같아요! 생긴건 뻑뻑해보였는데 육질도 진짜 부드러워서 앞으로 애용할 생각입니다",5
배달도 빠르고 양은 부족한가 했지만 괜찮았어여 맛은 굉장히 훌륭했습니다 비결좀 알려주세용 ㅎㅎㅎ,5
양도 많고 맛도있고  리뷰 계란후라이도 주시고 잘먹엇습니다,5
거리가 있어서 아쉽지만 맛있어요,5
항상 시킬때마다 맛있어요 묵은지 길게 쭉쭉찢어서 밥위에 얹어서 고기랑 한입에 먹고 국물한번 떠먹으면 최고에요^^,5
매운거 좋아하는데 맛있어요!!!  반찬도 맛있어요~~~,5
저녁 시간인데도 시간보다 빨리 와주셔서 넘 감사했어요ㅋ 리뷰가 좋아서 주문했는데.. 역시 리뷰는 거짓말을 안하네요ㅋ 맛있게 잘 먹었네요~~  서비스 만두랑 떡볶이도 잘 먹었어요ㅋ 양이 많아 다음 끼니도 힌번 더 먹을수 있겠어요~^^,5
oisheeeeeii,5
맛있구 밥도 양이 많아서 좋았어용,5
너무너무 맛있어요 매콤한거땡길때 자주시켜먹는맛집!,5
너무 맛있어요~~~ 잘먹었습니다~,5
☆☆☆☆☆☆☆☆☆☆,5
달달하니 맛있어요.,5
양은 많은대 고기가 질기네요,5
역시 너무 맛있어요!!! 최고최고!!!,5
약간 느끼한테 같이온 반찬이랑 먹으면 느끼함 잡아줍니다 ㅎ,5
배달속도 짱!! 맛도 땅!!,5
ㅎㅎㅎ맛있어요 양이 어마어마해서 두번 나눠먹었습니다,5
맛있습니다 여기서 드세요,5
잘 먹었습니다 많이 파세요,5
소갈비 부드럽고 넘 맛있어요~ 묵은지갈비는 좀 짠듯 했지만 양도 많고 잘 먹었습니다. 다음에 또 주문할께요!,5
늦은 시간인데 잘 먹었어요,5
맛있습니다,5
잘 먹었어요,5
#식후감 갈비찜은 나홀로찜애로 통일! 정말 맛있게 잘 먹었습니다,5
오랜만에 먹어서 그런지 엄청 잘 먹었어요,5
오랜만에 안 매운 거로 주문했어요. 간장 맛이 많이 나고 짭조름해요. 항상 갈비찜만 주문했는데 다른 것들도 주문해봐야겠어요.,5
잘 먹었습니다~^^,5
항상 맛나게 먹고 있어요!,5
솔직히 돼지고기 거의 없어요 있는것도 죄다 크기가 작아서 씹는 맛이 안나요 유니자장에 있는 고기만해요.. 김치찌개를 시켜도 이거보단 많이 주지 않을까 싶네요,3
와~~~이 집 두번째인데... 맛집 인정~~^^ 만두  떡볶이 서비스에다  굿굿굿...  찜이다보니  약간  짤수도 있으나  그것만 해소된다면    쵝오임~~~^^,5
배달음식답지않게 먹고나서속이편해요 항상~맛도 있고요~짱짱,5
간만에 갈비찜 먹고싶어서 시켰는데 가성비 좋네요 잘먹었습니다,5
잘 먹었습니다 많이 파세요,5
김치가 맛있어요 배고플때 다시시킬듯,4
너무 맛있게 잘먹었습니다~,5
항상  진하고 맛있는 나홀로찜애에요~♡,5
잘먹었습니다 밥도둑,5
맛있어요 잘 먹었습니다!,5
맛있어요~ 다음에 또 시킬게요,4
맛잇게 잘 먹엇어요 밥도 진짜 많이 주식더라고요 ㅋ 오뎅볶음도 맛잇엇고요 ㅋ 담엔 그냥 갈비로도 시켜먹어보고 싶네요 :),5
오랫만에 시켰는데 매콤하게 잘 먹었네요,5
반찬도 다양하고 배달도 빠르고 맛있었어요 ㅎㅎㅎ,5
맛있게 잘 먹었습니다,5
맛있게 잘 먹었습니다,5
진짜 마싯당~~~~~~~,5
잘 먹었습니다~^^,5
진짜..양..맛..굿,5
시킬때마다 맛있게 먹고있습니다,5
뭐 얼마나 * 가게가 잘 돼서 주문이 밀렸는지  배달기사분이 전국을 돌아댕기고 왔는지 모를일이지만 한시간 20분 넘어 받은건 배달 시키면서 처음 보는 일이네요 포장이 잘 안돼서 찜 국물이 샜구요 밥에 국물자국이 보이던데 뭐 흘러 들어간건지 애초에 그랬는지 알길 없지만 오늘이 비가 오나 눈이 오나 그렇다고 태풍이라도 부나요??  음식은 맛있었고 밥도 양 많고 서비스로 주신 떡볶이도 군만두도 잘 먹었습니다 다신 여기서 안 시킬것 같네요  빨리 드시고 싶든 분들은 여기서 시킴 안될것 같네요,2
리뷰를 보고 시켰지만 맛이 없었습니다.  보통 평점을 후하게 주는 편인데 고기가 말라서 딱딱한 것도 있고 제 입에는 맞지 않았네요.,3
믿고 먹는 나홀로찜에 ㅋ,5
맛있게 잘먹었습니다,5
맛있게 잘먹었습니다,5
저 외국인이라 갈비찜 힌번도 안 먹어봤거든요? (Tmi) ㅋㅋ 여기서 처음 시켜먹어봤는데 맛있더라구요 ㅎㅎ 굿굿,5
나홀로찜애는 신림의 신화입니다,5
국물이 좀 세서 왔지만 잘 먹었어요,5
마싯엇어요 ㅎㅎㅎㅎ,5
맛있었습니다 양도 많구요 다만 김치가 커서 손질 없이 바로 먹을 사람은 잘라달라고 요청하는 게 좋아보입다 반찬 2종은 안 주셔도 된다고 했는데 오히려 한 세트를 더 주셔서 마음은 감사히 받았습니다 다만 리뷰 이벤트로 주시는 계란 후라이에 긴 머리카락 하나가 들어있어서 못 먹어서 아쉬웠습니다 조리 중 실수로 들어간 것으로 보입니다,5
잘먹었습니다 감사합니다,5
먹을게 와야 리뷰를 쓸텐데.........,1
진심 솔직하게 리뷰에 낚였습니다.웬만해선 먹는걸로 화 안나는데 오늘 오랜만에 먹으면서 화났네요. 돼지김치짜글이가 아니라 김치 짜글이네요. 김치가 90프로 이상인듯 심각합니다. 진짜 이 가격이면 집앞에서 국밥 한그릇 먹어도 vip처럼 먹을텐데 리뷰에 속았네요.,1
맛나게 잘 먹었습니다! :),5
저번에 먹고 또 생각나서 먹네요 진짜 맛있어요!!!,5
맛있어요 무엇보다 찜도 찜이지만 밥 자체를 많이 주시는게 너무 좋네요 사장님 인심이 담긴기분,5
달지 않고 매콤해서 맛있네요! 근데 저번에 닭도리탕 3인 시켰다가 새로 만드셔야 한대서 갈비찜으로 대신 먹었어서.. 아쉬워서 이번에 닭도리탕 다시 주문했는데요~ 뭔가 저번의 엄청났던 맛이랑은 쪼금 달라서 아쉬웠네용;ㅜㅜ,5
굿굿 잘먹었습니다 굿굿,5
진한맛이없어서 아쉬웠는데 나름 맛있었어요ㅋㅋ,4
잘 먹었습니다~^^,5
간도 적당하고 딱좋은 존맛,5
맛있게 잘 먹었어요~ 빠른배송과 서비스로 주신 떡볶이와만두 그리고 계란후라이까지  감사합니다^^,5
와 밑반찬이랑 서비스가 이렇게 많을줄 몰랐어요ㅎㅎㅎ 감사합니다ㅎㅎ 갈비찜이 매운듯 안매운듯 맵고 맛있네요ㅎㅎㅎ,5
맛있어요~~~!! 제 입맛엔 약간 싱거운거같아요 다음엔 매운맛도 시켜보려구요 잘먹었습니다ㅎㅎ 사이드로 떡볶이랑 만두도 오고 혜자네욤  밥은 따로 시키셔야해요~,4
짜글이 강추 엄청 강추합니다 !!,5
ㄷㄴㄱㄷㄴㄷㄹㄲㄷㄴ,5
와 떡볶이가 엄청 맛있네요 !!,5
어제 너무잘먹엇고요ㅎ 배달도소요시간보다빠르게와서 좋고암튼 맛잇게먹엇네요ㅎ,5
아이디 적는거 매번 까먹어서 계란섭스 드뎌빋앗네여 ㅎㅎ 고기도 부드럽고 ~ 고기양은 살짝아쉬웟어요 그래도 넘 맛나게잘목엇습니다~ㅋ,5
맛잇구 양도 많고 배달도 빠르게왓어요.  그런데 포장뜯는 게 안와서 커터칼로 뜯엇네요,5
항상 맛있게 먹고 있어요. 양도 맛도 굿!! 고기 옆에 기름만 조금 더 손질해주세요. ㅎ 번창하세요.,5
