reviews,scores
연어가 없어서…다른걸로 받았네요…,5
생각보다 초밥 많은양은 아닌거같아요 배가 덜차네요~~그래도 맛은 있었어용!,4
처음 먹어봤는데 맛있네요. 또 사먹겠습니다!,5
너무 맛있어요!!!,5
깜빡하고 리뷰이벤트 신청을 안 했더니 초밥도시락이 조금 허전하네요ㅎㅎ 그래도 잘 먹어서 별 다섯개 리뷰남깁니다 #식후감,5
맛있어요 감사합니다.,5
항상 너무 맛나고 배부르게 먹고 있네요!!!,5
"전복 없다고 우니로 대체해주셨어요. 근데 원래 포함된 우니 말고 추가로 주신 우니가 상대적으로 양이 쫌 적어서 아쉬웟습니다.  전에 2인 세트 먹고 감동받았었더랩니다. 이번에 주문하려고 보니, 메뉴에 2인 세트 없어졌네요 요즘 경기가 어려워서 많이 힘드시지요... 꾸준히 번창하셨으면 좋겠습니다. 사장님, 건강하세요.",5
맛있었어요 다음에도 시켜먹을게요.,5
리뷰가 넘 늦긴했는데 맛있게 잘 먹었어요~,5
리뷰이벤트로 추가로 초밥 2pcs도 받았네요^^ 가성비 괜찮습니다~,4
이사 오고 초밥 정착했어요 ㅎㅎ 맛있게 잘 먹었습니다~~~,5
스시가 생각나서 또 주문했습니다 :) 얼린물도 같이 넣어주시는 센스에 감동했습니다 ㅠㅠ 맛있게 잘먹었습니다!,5
사장님... 회덮밥 회는 싱싱했으나 초밥 회는 조금 덜 싱싱한 것 같아요 ㅠㅠ 제가 너무 늦은 시간에 주문해서 인건지 익혀진 초밥들은 다 괜찮았는데 활어들이 상태가 좋지 못했습니다.,5
"너무 맛있게 잘 먹었습니다. 전에 먹었을 때는 소고기 초밥이 제게 간이 좀 셌던 걸로 기억하는데, 오늘따라 소고기초밥이 너무 먹고 싶어서 그냥 주문해 봤더니 소스 간도 적절하고 고기도 부드럽고 딱 먹고 싶었던 맛이었습니다.",5
맛있게 잘 먹었어요!!!,5
늘 잘 먹고 있습니다!,5
"적당히 마있고,적당히 싱싱했고 배달도적당히옴.별도4개",4
잘먹었습니다. 명절 잘 보내세요,5
맛좋고 가성비좋아요,5
너무너무 맛있어뇨ㅠㅠ,5
오랜만에 시켜먹었습니당 맛있었어요!,5
맛있긴 했는데 뭔가 아쉬워서 담엔 안시킬 느낌,5
황새치불초밥 토핑이 바꼈네요  개인적으로 예전 바삭한 식감이 더 좋았는데... 좀 아쉽네요  암튼 맛있게 먹었습니다,5
배달두 빠르고 신선하고 정말 맛있었어요~! ㅎㅎ 초밥생각날때 여기서 시켜먹을 것 같아요!,5
맛나게 잘 먹었습니다!!,5
배달도 빨리 왔고 무엇보다 초밥이 맛있어요!!,5
"배달 엄청 빠르게 왔어요. 배달원분도 엄청 친절하셨고요.  빠르게와서 더 맛있게 잘 먹었습니다. 길초밥은 활어보단 왕새우 불초밥, 황새치 불초밥이 진짜 맛있는것 같아요. 맛있게 잘 먹었습니다👍",5
세번째 주문! 오늘도 맛있게 잘먹었습니다~,5
초밥 생각날때마다 항상 찾는 곳이에요. 양도 푸짐하고 맛있습니다.,5
너무 맛있게 잘먹었습니다~,5
항상 맛있게 잘 먹고있습니다 ㅎㅎ 덜 기름진 음식 생각날 때마다 시키게 되네요,5
초밥 생각날땐 길초밥입니다! 오늘도 맛있게 잘먹었어요~!!,5
양도 많고 맛있게 잘먹었어요,5
황새치불초밥이 맛있고 배달 빨랐어요! 잘먹었습니다 ~~~~,5
오랜만에 초밥이 땡겨 시켜보았는데 훅~ 땡기는 분위기에 입안에서 음미하기도 전에 순식간에 사라져 버렸네요~ 그만큼 잘 먹었습니다~ #식후감,5
오우...맛있어요!,5
"배달이 매우 오래 걸린다고 왔는데 예상시간보다 30분? 정도 빨리 왔어요 ㅎㅎ 우동도 면 따로 담아주셔서 하나도 안 불었고, 초밥도 정말 맛있게 잘 먹었습니다!! 이사 오고 초밥 유목민이었는데 자주 먹을 거 같아욤",5
배달빠르고 맛있습니다.,5
"고루고루 잘 먹었네요, 번창하세여!",5
